name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order

Survey Probe LCPs,SKR_surveyProbes,mission_item,"Plague-bearer Tech",,100000,1000,1,,graphics/SEEKER/icons/cargo/SKR_probeLcp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.campaign.bosses.SKR_remoteSurvey_item,,"If we ommit the presence of the nanomachines themselves, Safeguard enhanced Domain tech is within our grasp of understanding. Even better its autofactories still used LCPs that are compatible with any modern carrier's. Unlike the combat drones however, it seems that Safeguard used non-corrupted probes to enhance its awareness of its surroundings. If integrated, those probe LCPs would significantly improve the fleet's capacity to survey planets from a distance.

Replace the Remote Survey skill with an improved version working from hyperspace.",0

Nano-laminated Neutrino Sensors,SKR_neutrinoSensors,mission_item,"Plague-bearer Tech",,100000,1000,1,,graphics/SEEKER/icons/cargo/SKR_neutrinoSensors.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.campaign.bosses.SKR_neutrinoDetector_item,,"A study of the wreckage of Rampage revealed a plethora of highly sensitive neutrino detectors dotting the armor. Reproducing them would be difficult, but fortunately those devices are not directly laced with the nano-plague. Despite the battle damage, enough could be recovered to potentially improve the neutrino detection capacity of the fleet. If integrated to the ships of course.

Replace the Neutrino Scanner skill with an improved version with improved range that removes false signals over time.",0

Omostatic Drive Field Capacitors,SKR_emergencyBurnCapacitors,mission_item,"Plague-bearer Tech",,100000,1000,1,,graphics/SEEKER/icons/cargo/SKR_driveFieldCapacitors.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.campaign.bosses.SKR_emergencyBurn_item,,"White-Dwarf's bursts of speed were a sight to see in battle, and your fleet engineers flocked to study its engines and drive field emitters hoping to discover new more efficient designs. They hope were somewhat doused when they found out the Plague-Bearer used a /"brute force/" approach with oversized engines and power-plants. However the drive field emmiters were not, and studying them revealed their surprisingly effective capacitors. Those seemingly inert solid blocks of metal are seemingly able to handle ridiculous amount of energy both charging and discharging without barely any heating. Integrating them into a ship could have the potential to make it immune to the damage caused by hyper-space storm strike and still use the excess energy to supercharge the drive fields.

Replace the Emergency Burn skill with an improved version that mitigates Lightning strikes from Hyperspace Storms.",0

Recurssive Drive Field Emitters,SKR_sustainedBurnEmitters,mission_item,"Plague-bearer Tech",,100000,1000,1,,graphics/SEEKER/icons/cargo/SKR_driveFieldEmitters.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.campaign.bosses.SKR_sustainedBurn_item,,"Even before the insulated away team departed for the wreck of Cataclysm, your engineers reported interesting finding about the recordings of it's drive signature. A ship of this displacement indeed required very unusual drive field emitters to keep the bubble away from the hull. Their weird and somewhat echerian geodesic lens patterns have the as-yet unexplained effect of increasing the volume of a drive field with seemingly no increase in power draw compared to standard ones. While nobody is looking forward draining those complex and eminently fragile components from the inactive nano-machines, integrating them to your ships would improve their navigation performance when fully powered up for sustained burns.

Replace the Sustained Burn skill with an improved version that reduces terrain slow downs and ignores asteroid impacts.",0
