id,type,text1,text2,text3,notes
,,,,,
# WEAPONS WEAPONS WEAPONS,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SKR_minigun,WEAPON," The ""Minigun"", officially produced under the name M2660 Ragdoll, is a very long-range support weapon outputting an impressive amount of ordinance for a reasonable amount of flux. The small ammunition is not much of a threat to any decent armor, but the constant barrage produced will severely limit the tactical options available to a captain or a pilot on its receiving end.

 ""Miniguns"" rose and fell out of the spotlight multiple times over the cycles since their introduction, depending on the tactical precepts in fashion at the time. The reason for their resilience is that it is never a bad idea to have a couple of them prodding the enemy's defense from stand-off range to gain the upper hand in mobility. On the other hand, their limited effective damage means spending flux and loosing access to weapon emplacements that could otherwise be used for destroying or disabling an opponent.",,,
,,,,,
SKR_557Gun,WEAPON," The Asteïsmós is a seemingly oversized rotary shotgun firing flak shells, built into the 557-class frame. Due to the specific needs of the bounty-hunter target clientele, the ship was equipped with the biggest, loudest, most impressive main armament possible. The goal was to make future targets see reason and surrender without having to fire a shot and put the payday at risk. Some say that it barks louder than it bites compared to other guns of this size, but the weapon-enhancing system of the 557-class will quickly mute those naysayers.",Assault,,
,,,,,
SKR_executioner,WEAPON," An oversized smoothbore cannon meant as a precision bunker buster and used during trans-atmospheric strikes. It has since been somewhat modernized to compete in pure space battles. Its main drawbacks are the lackluster range and the fact that the cramped housing has prevented any proper auto-loader installation. Manual ammo clip loading is a somewhat routine operation aboard a Marksman, but a well-trained crew under precise coordination can attempt to pull off what is known as a ""Blazing Flamingo"". In short, the first shell of a clip can be loaded with an oversized propulsion charge, then all flux dissipation conduits have to be promptly connected to the breech to contain the extra pressure and produce a much stronger shot. If fumbled, however, the entire clip has to be removed before a shell can be fired again.",Precision Strike,,
,,,,,
SKR_kaleidoscope,WEAPON," The Kaleidoscope Point Defense weapon is the definitive answer to PD saturation. Able to freely divide its beam firepower between up to five missile targets, this device is exceptionally well suited to defend against swarms of fragile missiles. It can also stop quite effectively even the most resilient torpedo. However, the flux requirements for this weapon are particularly high, potentially leaving the ship undefended the moment its energy grid is saturated.",Advanced Point Defense,,
,,,,,
SKR_ravagerBI,WEAPON," A brutal plasma projector shooting fusion canisters that spread out after leaving the barrel and tend to destabilize shields through repeated impacts. A rare example of a High-Explosive energy weapon that is unfortunately lacking in punch to defeat heavy armor. It is however quite suited to deal with small opponents or as support fire to help other ships.",Assault,,
,,,,,
SKR_ravager,WEAPON," A brutal plasma projector shooting fusion canisters that spread out after leaving the barrel and tend to destabilize shields through repeated impacts. A rare example of a High-Explosive energy weapon that is unfortunately lacking in punch to defeat heavy armor. It is however quite suited to deal with small opponents or as support fire to help other ships.",Assault,,
,,,,,
SKR_modsL,WEAPON," The Multi-Ordnance Delivery System is a multi-warhead carrier missile that uses combined ammo types to defeat the enemy defenses, whether it is opposed by armor or shield. In layman terms, it is a Reaper torpedo warhead mounted on top of a long-range missile along with four high acceleration rockets tipped with shield penetrators. The resulting system can deliver a devastating kinetic/high-explosive one-two punch. Unsurprisingly, the complete missile is quite large, so large in fact that storing them is not a trivial problem to solve. As it turned out, it was more practical to build the missiles on-the-fly using a facility similar, albeit smaller, to the ones used on carrier to replenish fighter losses. As such, it is not possible to create a modular version of the weapon.",Strike,,
SKR_modsR,WEAPON," The Multi-Ordnance Delivery System is a multi-warhead carrier missile that uses combined ammo types to defeat the enemy defenses, whether it is opposed by armor or shield. In layman terms, it is a Reaper torpedo warhead mounted on top of a long-range missile along with four high acceleration rockets tipped with shield penetrators. The resulting system can deliver a devastating kinetic/high-explosive one-two punch. Unsurprisingly, the complete missile is quite large, so large in fact that storing them is not a trivial problem to solve. As it turned out, it was more practical to build the missiles on-the-fly using a facility similar, albeit smaller, to the ones used on carrier to replenish fighter losses. As such, it is not possible to create a modular version of the weapon.",Strike,,
,,,,,
SKR_glare,WEAPON," A strong burst beam in and of itself, the Glare weapon system was developed on the heels of the Dawn-class ceramic armor demonstrator by the New Dallas Heavy Construction shipyard. The design was both to complement the ship's battlefield control abilities, as well as an attempt to prove the viability of the same organic/ceramic armor used for the Dawn's outer shell in weapon construction. However, the main benefit of that type of design is limited to an easier combined maintenance of both the ship and its weapons through shared tools and procedures. Given the extreme rarity of ceramic-based military designs and the prohibitive construction cost, only a single batch of Glare heavy beams was ever produced before the collapse.",Support,,
,,,,,
SKR_obsidianL,WEAPON," An internal fast-fed missile weapon built-in the Onyx-class battle-cruiser. While the ordnance has a low yield and minimal guidance, they can be launched in large numbers in an attempt to saturate point-defenses. While the loading system does produce a significant amount of Flux, it is still a far cry from what an Energy-based weapon would produce for similar performances.",Assault,,
SKR_obsidianR,WEAPON," An internal fast-fed missile weapon built-in the Onyx-class battle-cruiser. While the ordnance has a low yield and minimal guidance, they can be launched in large numbers in an attempt to saturate point-defenses. While the loading system does produce a significant amount of Flux, it is still a far cry from what an Energy-based weapon would produce for similar performances.",Assault,,
,,,,,
SKR_blackout,WEAPON," A modified large Pulse Laser that would be somewhat unremarkable if it wasn't specifically designed to take down those heavily shielded targets energy weapon usually struggle against. While the raw damage output would place it in competition with smaller weapons such as the Heavy Blaster, the Blackout eke an edge thanks to a dual ammo system: For the last shot of each clip the weapon fires a modified projectile that carries a heavy EMP payload. With the target's shield hopefully already destabilized by the previous shots, some EMP arcs can defeat the protection and hit the hull, with more potency the higher the enemy's flux levels are. And with these special projectiles only used every few shots, the weapon can keep a very favorable Flux to Fire ratio.",Assault,,
,,,,,
SKR_fuscina,WEAPON," An internally mounted modified Phase Lance found on Retiarius-class cruisers. While non-modular, the emitter has been coupled with a compact capacitor bank allowing it to cycle multiple times in a short duration before having to recharge. Additionally, higher quality-control during the fabrication selected top tier gravitic lenses, keeping the beam's concentration to nominal levels over a longer range. However cooling issues have lead to a slightly shorter burst duration, leading to only a small improvement in performances over the original device.",Assault,,
,,,,,
SKR_reaper,WEAPON," An internal ammo-fed launch tube firing unguided torpedoes of devastating yield with a powerful on-board engine. The quintessential strike weapon, a single Reaper torpedo is a large self-propelled, armored, unguided delivery system for an enriched AM-catalysed nuclear warhead. The science behind the surprisingly compact detonator is poorly understood in the Sector though widely speculated to be based on physics classified as secret by Domain authority. What is known is that three or four of these slipping through PD arcs are enough to destroy even the largest capital ship.",Strike,,
,,,,,
SKR_sunburst,WEAPON," A fast mines deployment system, the Sunburst vehicle launcher can give to a captain an unprecedented control on the battlefield's flow. While not exactly deadly individually, the sheer amount of devices deployed by the carrier missile can give pause to cruiser-sized ships and above. Sadly, given the inherent chaos of space battles (as well as a dozen treaties against undiscriminating bombardment), the mines are kept on short-timed fuse to avoid friendly fire accidents.",Area Denial,,
,,,,,
SKR_gatlingLance,WEAPON," A rare weapon illustrating perfectly the difficult issues to overcome when designing high power long-range beam projectors: Cooling requirements scale exponentially with higher output and shorter wavelengths. In this instance, nothing short of brute centripetal force could ensure a fast and uniform enough vapor-based heat dissipation of the emitters. The rotating twin assembly dictates the fast repeating bursts profile of the attack of the device. Unfortunately, minute offsets in the timing of the discharge or the alignment of the lenses cause the very distinct inaccuracy of the successive beams. On the other hand, it can sustain a continuous operation with a favorable flux ration, as long as the grid holds or combat damage occurs.",Assault,,
,,,,,
SKR_antiMissilesLauncher,WEAPON," Launches fast and quite agile small missiles designed to intercept incoming threats. The warhead is weak but loaded with enough shrapnel to reliably damage missiles. It is however largely ineffective against any other type of target.",Point Defense,,
,,,,,
SKR_stepMissilesLauncher,WEAPON," Launches high payload missiles that appear to have unlimited acceleration. However, they can only fly in a straight line, thus they aim for their target before firing up their engine.",Assault,,
,,,,,
SKR_stepMissilesRack,WEAPON," Launches high payload missiles that appear to have unlimited acceleration. However, they can only fly in a straight line, thus they aim for their target before firing up their engine.",Assault,,
,,,,,
SKR_accelMissilesLauncher,WEAPON," Launches Kinetic missiles with an average acceleration but high top speed and decent guiding system. However, they are somewhat short-ranged and fragile.",Close Support,,
,,,,,
SKR_accelMissileRack,WEAPON," Launches Kinetic missiles with an average acceleration but high top speed and decent guiding system. However, they are somewhat short-ranged and fragile.",Close Support,,
,,,,,
SKR_firecane,WEAPON,"Humongous artillery platform designed for the Siegfried-class Dreadnought. It consists of three over-sized Hellbore cannons with extended range that can decimate any target caught in their cone of fire in a matter of seconds. Due to the extreme amounts of flux produced by internal plasma chambers, the Firecane Artillery Platform uses an interconnected duel system, rather than having a separate chamber for each barrel. This works through a highly complex loading system and allows for a steady rate of fire without overworking the internal venting systems too much. Its sheer amount of raw firepower coupled with ludicrous weight is enough to tear itself from any standard mount after a few shots. To counter this, the Guardian-class utilizes specialized dampening fields in the Firecane weapon mounts and heavily reinforced the surrounding structure. This solution creates a substantial amount of extra flux per shot and slows the already pitiful turning speed even further. Despite these efforts, the violent shocks can still be felt all throughout the ship, and are strong enough in the weapon control room that the crew manning them can develop cardiac arrhythmia after prolonged fire.",Fire Support,,
,,,,,
SKR_targetPainterSmall,WEAPON," Low power laser used to light priority targets for other conventional weapons. It is quite useless by itself. It can also be used to map hulls, but given that doing so tends to fry un-shielded electronic sensors and/or give massive headaches to the crew working on the surface, it is universally regarded as a deliberately insulting gesture.",Special,,
,,,,,
SKR_balisongPulse,WEAPON," A huge non-modular variant of the Autopulse Laser that traded its rate of fire for a much higher damage output and longer range. The assembly is so large it cannot be fitted in normal weapon mounts and instead has to use a small-scale station module attachment ring designed for the Balisong-class cruiser. As a result, the weapon tends to sway a little during high G maneuvers. The ludicrous energy requirement also limits the number of shots that can be fired before a recharge cycle must be initialized. The whole device is then physically plugged directly into the main reactor to restore the internal capacitors.",Assault,,
,,,,,
SKR_balisongBushwhacker,WEAPON," A multi-stage up-scaled variant of the Plasma cannon installed internally within the Balisong-class cruiser. Unlike its modular cousin, this variant can undergo multiple charge cycles without releasing the plasma bolt, each time increasing its potential destructive power. A fully charged projectile packs a mean wallop, equivalent to four times a regular Plasma Cannon shot. However that charge cycle is time-consuming and pretty obvious on every scopes and sensors: enemy captains will be able to easily anticipate the coming shot. Nevertheless, against targets too large to evade its fury the Bushwhacker has little competition in term of raw destructive power.",Heavy Assault,,
,,,,,
SKR_balisongPD,WEAPON," An odd modular micro-drone bay. The initial concept was sound with the idea of mounting drone-based 360 degrees point-defenses in any ship's weapon slot, but the result was sadly underwhelming. Those drones are too small to hold their own flux systems and require constant energy feeding from the host ship via micro-wave beam. Additionally, the targeting system was never fully implemented into the mobile frame, limiting the firing arc to the one of a regularly mounted weapon. Their sole redeeming value is their constant firing coupled with a more than decent damage output for a small weapon, albeit at a lower efficiency than regular beams.",Point Defense,,
,,,,,
SKR_revolver,WEAPON," A large energy weapon with such energy requirement that it is only found on the Butterfly-class destroyer. Using a ring of discrete capacitors instead of a single larger bank, this weapon is able to produce powerful laser bolts at a properly ridiculous fire rate before they need to be recharged.",Assault,,
SKR_revolverBeam,WEAPON," A large energy weapon with such energy requirement that it is only found on the Butterfly-class destroyer. Using a ring of discrete capacitors instead of a single larger bank, this weapon is able to produce powerful beams at a properly ridiculous fire rate before they need to be recharged.",Assault,,
,,,,,
SKR_drill,WEAPON," A massive phase charge projector built-in the Trailblazer-class hull. Can deal an inordinate amount of damage regardless of defenses but is extremely unwieldy, short-ranged, and difficult to aim. While it is a ""gun"" in the sense that a projectile is fired, the RD is unique in that it has a completely sealed barrel on both ends. The projectile is closer to a drone than an inert slug and is effectively phased out of normal space before reaching the end of the barrel. It then causes so-called ""phase rifts"" or micro-fissures of normal space. Too thin and short-lived to really tear apart a large object like a ship but enough to cause some local damage to the affected components that can see part of their structure suddenly shift a few atoms away. When the charge has expended its energy, it phases back to normal space and detonate, hopefully within an enemy target. The unstoppable nature of this weapon with the large area of effect makes it absolutely terrifying. It is unfortunate that the short-range and sluggish projectile also makes it easy to dodge, overall limiting the large-scale use of such a device.",Oddity,,
,,,,,
SKR_gawk,WEAPON,"I peer through pitch black space; Searching behind the veil of the Universe; To find a signature;",Evicerator,,
,,,,,
SKR_akita,WEAPON," Unrelenting sprint-type missile that carries a massive AM-boosted fusion warhead. The Akita is optimized to deliver the killing blow at the first opportunity by offering an impressive top speed and decent resilience to PD. It is however not suited to strike nimble targets as it can be easily dodged when it reaches its top speed.",Strike,,
,,,,,
,,,,,
,,,,,
SKR_glutton,WEAPON," This massive rocket appears to be composed of four regular Harpoon missiles affixed to a carrier vehicle. The increase in effective range is considerable, but the vulnerability of the bus makes it easy to intercept before separation.",Long Range Assault,,
,,,,,
SKR_canister,WEAPON," An antiquated device used to send payloads of mineral or liquid across a solar system. The advent of torch-ships, as well as the difficulties and risks incurred by the reception of the canister, have long rendered this technology obsolete.",Trans-orbital delivery,,
,,,,,
SKR_chain,WEAPON," The misnamed ""Chain Lightning Cannon"" is a large scale Gauss-like weapon that does not create something as mundane as lightning in space. Instead, it weakens the barrier between the highly energetic hyperspace dimension and normal space, causing micro-fractures between objects of sufficient mass present in the area (such as ships) through which pours plasma. The larger masses cause more fractures, leading to more damage caused by torrents of star-hot particles. While spaceships break the hyperspace interface daily, manipulating it in such a fine manner is way beyond what should be achievable even using the latest Domain tech.",Fleet Assault,,
,,,,,
,,,,,
,,,,,
SKR_tusk,WEAPON," Fires slow but long-ranged torpedoes tipped with AM-boosted nukes. Potent against all defenses and an absolute priority to intercept.",Assault,,
SKR_tusk_medium,WEAPON," Fires slow but long-ranged torpedoes tipped with AM-boosted nukes. Potent against all defenses and an absolute priority to intercept.",Assault,,
,,,,,
SKR_pdCharger,WEAPON," A potent beam weapon that would nullify any missile threat if it was not for its unfortunately long reload sequence.",Point Defense,,
,,,,,
SKR_pdGrenade,WEAPON," A light mortar that launches PD charges able to deal with a large amount of incoming threats at once.",Point Defense,,
,,,,,
SKR_burstPulse,WEAPON," A modified IR Pulse Laser that can unleash a flurry of energy bolts in a very short span of time.",General,,
,,,,,
SKR_intercept,WEAPON," A reassembled Hyper-velocity Driver using a flak ammo somehow able to survive the staggering firing acceleration. ",Long Range Anti-fighter,,
,,,,,
SKR_assaultRevolver,WEAPON," A melded and down-scaled Hephaestus Assault gun that kept its damage potential and more, albeit only for short bursts.",Assault,,
,,,,,
SKR_hvBlaster,WEAPON," A reinforced and clip-fed Heavy Blaster firing heavy plasma ammunition at an extended range with pin-point accuracy.",Assault,,
,,,,,
SKR_fauchard,WEAPON," A fused twin Tachyon Lance with terrifying destructive power.",Strike,,
,,,,,
SKR_dainsleif,WEAPON," A long range weapon based on the Mjolnir but modified with seemingly non-Domain technology to enhance its reach and destructive power.",Artillery,,
,,,,,
SKR_sling,WEAPON," The Sling torpedo is a long-range high payload missile with an unusual energy-based warhead. While not exceptional in any particular area, the vehicle has an efficient engine and a modern targeting package, allowing reliable strikes from stand-off range. The warhead on the other hand is quite peculiar, using a matter/anti-matter nuke to vaporize a thick shell of tungsten into a heavy plasma cloud expanding at relativistic speed. The shockwave created is very efficient at disrupting shields as well as hammering armor and hulls.",Long-Range Support,,
,,,,,
SKR_lightspark,WEAPON," The Lightspark is a small, fast missile with a low-yield payload and limited tracking. The Plasma warhead is charged directly from the ship's grid after the vehicle has been loaded on the launch rails, bypassing the requirements for an armored storage compartment. That means the launcher's bustle can safely hold a large amount of ammunition and can be refilled in combat directly from the ship's main ammo magazines.",Short Range Pressure,,
,,,,,
SKR_lightstreak,WEAPON," A mid-range lightning missile with a somewhat weak payload used to counter encirclements from lighter ships. They can also pose a threat to larger ships when deployed in sufficient numbers since they are somewhat decent at bringing down shields thanks to their energy-like warhead.",Anti-Frigates,,
,,,,,
SKR_heavyLightstreak,WEAPON," An upgraded variant of the Lightstreak missile equipped with a long-range first stage that can deploy a standard volley of three missiles. While the regular Lightstreak is a potent defensive tool for large ships to fend off flanking fast movers, this support variant is ideal for softening up an enemy group before they get in range.",Long Range Support,,
,,,,,
,,,,,
,,,,,
,,,,,
# SHIPS SHIPS SHIPS,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# PLAGUE BEARERS
# PLAGUE BEARERS
# PLAGUE BEARERS
,,,,,
SKR_fireant,SHIP,"A deadly interceptor of unknown origin able to dispatch shielded and armored strike crafts with equal ease. Wings of Fire-Ants have successfully engaged frigates when left unchecked.",,,
,,,,,
SKR_pillbug,SHIP,"A resilient support strike craft boasting active flares and a ship-sized Ion Pulser. While not a massive threat by themselves, they are rarely deployed alone. Instead, they support other wings by disabling a target's defenses with incredible efficiency.",,,
,,,,,
SKR_beetle,SHIP,"A heavy strike craft wing of unknown origin defying classification. At the same time interceptor, bomber, and superiority fighter. It is deadly in all situations and its elimination should be a top priority.",,,
,,,,,
,,,,,
,,,,,
,,,,,
SKR_fanatic,SHIP,"This extensively modified Medusa chassis is warped around a spinal large hybrid mount, completely changing the ship's role from skirmisher to artillery platform. This new doctrine is further enhanced by the Fortress Shield system that was somehow shoehorned in the cramped hull. This change was only made possible by removing the original shield emitter, now replaced by a smaller, much narrower one.

The planet Abraxia was one of the first hit by Cataclysm. The population watched the monstrous ship consume most of their technological base and infect the remains with what can only be described as a plague. Given the chaos so soon after the Collapse, it is not surprising it took nearly ten cycles for their system to be visited by a group of scavengers. Only after they let a small group from the remaining survivors on board their ships, the unfortunate crews discovered a cult had developed on the planet. They believe that Cataclysm is the harbinger of the End Times and should be helped in its endeavor. The Cultists quickly took over the ships, modified them in the image of Cataclysm, and are now traveling alongside it. While it is unclear if there is any communication between fanatics and their deity, it is apparent that they share a symbiotic relationship: the Cultists provide an escort, and Cataclysm leaves them an immense amount of supplies during its feeding times.",,,
,,,,,
SKR_cultist,SHIP,"The arced back structure makes it hard to tell, but this class is likely a modification of a Sunder-class chassis. The weapon emplacements have been altered a lot, but the energy grid still bears some resemblance with the original design.

The planet Abraxia was one of the first hit by Cataclysm. The population watched the monstrous ship consume most of their technological base and infect the remains with what can only be described as a plague. Given the chaos so soon after the Collapse, it is not surprising it took nearly ten cycles for their system to be visited by a group of scavengers. Only after they let a small group from the remaining survivors on board their ships, the unfortunate crews discovered a cult had developed on the planet. They believe that Cataclysm is the harbinger of the End Times and should be helped in its endeavor. The Cultists quickly took over the ships, modified them in the image of Cataclysm, and are now traveling alongside it. While it is unclear if there is any communication between fanatics and their deity, it is apparent that they share a symbiotic relationship: the Cultists provide an escort, and Cataclysm leaves them an immense amount of supplies during its feeding times.",,,
,,,,,
SKR_zealot,SHIP,"While the silhouette is still reminiscent of the original Apogee hull, the internal structure is entirely reversed front-to-back. The bridge is now far to the rear, but the bulk of the weapon mounts have been crammed to the front, huddling the new main reactor emplacement. 

The planet Abraxia was one of the first hit by Cataclysm. The population watched the monstrous ship consume most of their technological base and infect the remains with what can only be described as a plague. Given the chaos so soon after the Collapse, it is not surprising it took nearly ten cycles for their system to be visited by a group of scavengers. Only after they let a small group from the remaining survivors on board their ships, the unfortunate crews discovered a cult had developed on the planet. They believe that Cataclysm is the harbinger of the End Times and should be helped in its endeavor. The Cultists quickly took over the ships, modified them in the image of Cataclysm, and are now traveling alongside it. While it is unclear if there is any communication between fanatics and their deity, it is apparent that they share a symbiotic relationship: the Cultists provide an escort, and Cataclysm leaves them an immense amount of supplies during its feeding times.",,,
,,,,,
SKR_guru,SHIP,"Possibly a modified Heron-class hull, the Guru combines a pair of flight decks with a large weapon emplacement. This makes it a terrifying support platform event before taking into account the destructive potential of Plague-borne weapons and wings.

The planet Abraxia was one of the first hit by Cataclysm. The population watched the monstrous ship consume most of their technological base and infect the remains with what can only be described as a plague. Given the chaos so soon after the Collapse, it is not surprising it took nearly ten cycles for their system to be visited by a group of scavengers. Only after they let a small group from the remaining survivors on board their ships, the unfortunate crews discovered a cult had developed on the planet. They believe that Cataclysm is the harbinger of the End Times and should be helped in its endeavor. The Cultists quickly took over the ships, modified them in the image of Cataclysm, and are now traveling alongside it. While it is unclear if there is any communication between fanatics and their deity, it is apparent that they share a symbiotic relationship: the Cultists provide an escort, and Cataclysm leaves them an immense amount of supplies during its feeding times.",,,
,,,,,
SKR_believer,SHIP,"At first glance this modified Vigilance-class does not look like much of an improvement, loosing the benefits of both a turreted gun and front-facing hard-point for missile. This impression is quickly dispelled when the Believer-class uses its Phase Displacer system, turning the unassuming hull into an upgraded Wolf-class equivalent.

The planet Abraxia was one of the first hit by Cataclysm. The population watched the monstrous ship consume most of their technological base and infect the remains with what can only be described as a plague. Given the chaos so soon after the Collapse, it is not surprising it took nearly ten cycles for their system to be visited by a group of scavengers. Only after they let a small group from the remaining survivors on board their ships, the unfortunate crews discovered a cult had developed on the planet. They believe that Cataclysm is the harbinger of the End Times and should be helped in its endeavor. The Cultists quickly took over the ships, modified them in the image of Cataclysm, and are now traveling alongside it. While it is unclear if there is any communication between fanatics and their deity, it is apparent that they share a symbiotic relationship: the Cultists provide an escort, and Cataclysm leaves them an immense amount of supplies during its feeding times.",,,
,,,,,
